e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
20,35,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,36,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,37,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,38,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,39,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,40,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,41,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,42,65,41.5,32.7,8.9,1.53,97.9,13.3,182.5,3.93,3,12,20.5,271.3,53,6.2,58.6
20,43,64,42.2,32.9,9.3,1.58,101,15.3,186.7,3.91,3,12,20.5,271.3,52,6.7,61.7
20,44,63,42.9,33.1,9.7,1.64,104.2,17.4,191,3.89,2,11,24,305.1,52,6.7,61.7
20,45,63,42.9,33.1,9.7,1.64,104.2,17.4,191,3.89,2,11,24,305.1,52,6.7,61.7
20,46,61,41,33.8,7.2,1.19,66,8.7,123.3,3.57,2,10,16.8,115.6,51,5.3,56.3
20,47,61,41,33.8,7.2,1.19,66,8.7,123.3,3.57,2,10,16.8,115.6,51,5.3,56.3
20,48,61,41,33.8,7.2,1.19,66,8.7,123.3,3.57,2,10,16.8,115.6,51,5.3,56.3
20,49,61,41,33.8,7.2,1.19,66,8.7,123.3,3.57,2,10,16.8,115.6,51,5.3,56.3
20,50,60,41.7,34,7.7,1.26,68.8,10.8,126.8,3.55,2,10,16.8,115.6,50,5.9,59.4
20,51,59,40.7,34.1,6.6,1.07,65.5,6.8,124.1,3.55,2,9,10.4,99.2,50,5.9,59.4
20,52,58,41.4,34.2,7.2,1.15,68.3,8.9,127.7,3.48,2,8,15.3,124.1,50,5.9,59.4
20,53,57,42.1,34.3,7.8,1.24,71.3,11.1,131.4,3.47,2,8,15.3,124.1,49,6.6,62.7
20,54,55,41.8,34.5,7.3,1.14,71.3,9.6,133.1,3.41,2,7,21.5,156.1,48,5.2,59
20,55,53,43.4,34.8,8.6,1.32,77.8,14.4,141.2,3.41,2,7,21.5,156.1,46,6.6,65.9
20,56,49,40.8,35.3,5.5,0.81,61.3,-2.5,125,3.31,2,6,12.7,136.3,43,4.5,50.8
20,57,48,39.6,35.5,4.1,0.59,47.4,-11.5,106.4,3.21,2,6,12.7,136.3,42,2.9,34.7
20,58,48,39.6,35.5,4.1,0.59,47.4,-11.5,106.4,3.21,2,6,12.7,136.3,42,2.9,34.7
20,59,43,39.5,35.9,3.7,0.5,44.6,-17.4,106.7,3.17,2,6,12.7,136.3,37,2.2,29.7
20,60,39,38.5,36.6,1.9,0.24,29.3,-30.2,88.8,3.01,2,5,1.2,70.6,34,2,23.2
20,61,36,36.1,37.3,-1.2,-0.15,14.4,-42,70.9,2.93,0,5,1.2,70.6,31,-1.6,5.4
20,62,32,34.4,37.9,-3.6,-0.42,4.7,-52.8,62.2,2.76,0,4,-15.4,39.8,28,-1.9,-0.3
20,63,30,36.7,38.2,-1.5,-0.17,11.7,-48.9,72.2,2.76,0,4,-15.4,39.8,26,0.6,7.3
20,64,25,36,39.1,-3.1,-0.31,11.5,-57.1,80.1,2.73,0,3,-7.8,86.3,22,-2.4,1.3
20,65,23,39.1,39.5,-0.4,-0.04,21.2,-52.1,94.5,2.72,0,3,-7.8,86.3,20,0.7,11.4
21,35,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,36,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,37,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,38,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,39,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,40,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,41,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,42,56,37.5,32.4,5.1,0.81,91.5,-4.5,187.4,3.97,2,10,20,309.3,46,1.8,44.1
21,43,55,38.2,32.7,5.5,0.87,95,-2.5,192.4,3.94,2,10,20,309.3,45,2.3,47.3
21,44,54,38.9,32.9,5.9,0.93,98.6,-0.4,197.6,3.92,2,9,24.3,354.8,45,2.3,47.3
21,45,54,38.9,32.9,5.9,0.93,98.6,-0.4,197.6,3.92,2,9,24.3,354.8,45,2.3,47.3
21,46,53,37.7,33.5,4.2,0.66,58.9,-3.6,121.5,3.56,2,8,15.3,124.1,45,2.3,47.3
21,47,53,37.7,33.5,4.2,0.66,58.9,-3.6,121.5,3.56,2,8,15.3,124.1,45,2.3,47.3
21,48,53,37.7,33.5,4.2,0.66,58.9,-3.6,121.5,3.56,2,8,15.3,124.1,45,2.3,47.3
21,49,53,37.7,33.5,4.2,0.66,58.9,-3.6,121.5,3.56,2,8,15.3,124.1,45,2.3,47.3
21,50,52,38.5,33.7,4.8,0.73,62,-1.5,125.4,3.54,2,8,15.3,124.1,44,2.9,50.7
21,51,52,38.5,33.7,4.8,0.73,62,-1.5,125.4,3.54,2,8,15.3,124.1,44,2.9,50.7
21,52,52,38.5,33.7,4.8,0.73,62,-1.5,125.4,3.54,2,8,15.3,124.1,44,2.9,50.7
21,53,51,39.2,33.8,5.4,0.82,65.2,0.8,129.6,3.54,1,8,15.3,124.1,43,3.6,54.2
21,54,49,38.8,34,4.7,0.7,65,-1.4,131.3,3.47,1,7,21.5,156.1,42,1.9,49.8
21,55,47,40.4,34.3,6.1,0.88,72,3.5,140.5,3.47,1,7,21.5,156.1,40,3.4,57.3
21,56,44,38.6,34.7,3.9,0.54,61.5,-8,131,3.42,1,6,12.7,136.3,38,2.5,49.7
21,57,43,37.2,34.9,2.3,0.31,46,-18,110.1,3.3,1,6,12.7,136.3,37,0.6,31.4
21,58,43,37.2,34.9,2.3,0.31,46,-18,110.1,3.3,1,6,12.7,136.3,37,0.6,31.4
21,59,39,38.5,35.3,3.2,0.42,48.8,-18.6,116.2,3.29,1,6,12.7,136.3,33,1.5,32.8
21,60,35,37.1,36,1.1,0.14,32.2,-32.9,97.3,3.13,1,5,1.2,70.6,30,1.1,25.8
21,61,33,36.4,36.7,-0.4,-0.04,20.4,-40.5,81.2,3.03,0,5,1.2,70.6,28,-0.6,11.4
21,62,29,34.5,37.4,-2.9,-0.32,10.4,-52.2,73,2.86,0,4,-15.4,39.8,25,-0.9,5.7
21,63,27,37,37.6,-0.5,-0.06,18.6,-47.7,84.9,2.87,0,4,-15.4,39.8,23,2.1,14.9
21,64,22,36.4,38.5,-2.1,-0.2,20,-56.7,96.6,2.86,0,3,-7.8,86.3,19,-1.2,9.5
21,65,20,40,38.9,1.1,0.1,31.9,-50.7,114.6,2.86,0,3,-7.8,86.3,17,2.7,22.4
22,35,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,36,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,37,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,38,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,39,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,40,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,41,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,42,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,43,45,42.2,32.1,10.1,1.45,126.9,10.6,243.2,4.09,1,7,44.5,484.7,38,3.7,60.9
22,44,44,43.2,32.5,10.7,1.52,132,13.5,250.6,4.07,1,6,54.9,582.2,38,3.7,60.9
22,45,44,43.2,32.5,10.7,1.52,132,13.5,250.6,4.07,1,6,54.9,582.2,38,3.7,60.9
22,46,43,41.9,33.1,8.7,1.22,83.9,10.4,157.5,3.62,1,5,46.6,258.6,38,3.7,60.9
22,47,43,41.9,33.1,8.7,1.22,83.9,10.4,157.5,3.62,1,5,46.6,258.6,38,3.7,60.9
22,48,43,41.9,33.1,8.7,1.22,83.9,10.4,157.5,3.62,1,5,46.6,258.6,38,3.7,60.9
22,49,43,41.9,33.1,8.7,1.22,83.9,10.4,157.5,3.62,1,5,46.6,258.6,38,3.7,60.9
22,50,42,42.9,33.4,9.5,1.3,88.3,13.5,163.1,3.61,1,5,46.6,258.6,37,4.5,65.3
22,51,42,42.9,33.4,9.5,1.3,88.3,13.5,163.1,3.61,1,5,46.6,258.6,37,4.5,65.3
22,52,42,42.9,33.4,9.5,1.3,88.3,13.5,163.1,3.61,1,5,46.6,258.6,37,4.5,65.3
22,53,42,42.9,33.4,9.5,1.3,88.3,13.5,163.1,3.61,1,5,46.6,258.6,37,4.5,65.3
22,54,42,42.9,33.4,9.5,1.3,88.3,13.5,163.1,3.61,1,5,46.6,258.6,37,4.5,65.3
22,55,41,43.9,33.5,10.4,1.41,92.9,16.8,169,3.61,1,5,46.6,258.6,36,5.3,69.9
22,56,39,41,33.9,7.1,0.94,77.7,1.1,154.3,3.54,1,4,39.6,254.5,35,3.4,57.5
22,57,38,39.5,34.1,5.4,0.7,60.7,-10.1,131.4,3.42,1,4,39.6,254.5,34,1.3,37.9
22,58,38,39.5,34.1,5.4,0.7,60.7,-10.1,131.4,3.42,1,4,39.6,254.5,34,1.3,37.9
22,59,35,40,34.3,5.7,0.71,60.8,-12.8,134.4,3.4,1,4,39.6,254.5,31,1.3,35.8
22,60,31,38.7,35,3.7,0.43,43.6,-28.3,115.6,3.24,1,3,29.5,184.3,28,0.9,28.6
22,61,29,37.9,35.8,2.2,0.24,31,-36.7,98.6,3.13,0,3,29.5,184.3,26,-1,13.3
22,62,25,36,36.4,-0.4,-0.04,21.1,-49.8,92,2.96,0,2,10.5,179.5,23,-1.3,7.3
22,63,24,37.5,36.5,1,0.1,26.2,-47,99.4,2.96,0,2,10.5,179.5,22,0.1,12.2
22,64,20,35,37.3,-2.3,-0.21,23.3,-60.2,106.7,2.95,0,2,10.5,179.5,18,-3.7,5.9
22,65,18,38.9,37.7,1.2,0.11,36.9,-53.8,127.7,2.96,0,2,10.5,179.5,16,0,19.1
23,35,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,36,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,37,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,38,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,39,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,40,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,41,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,42,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,43,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,44,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,45,41,43.9,32.3,11.6,1.59,142.8,16.6,269.1,4.15,1,6,54.9,582.2,35,4.2,67.5
23,46,40,42.5,33,9.5,1.28,91.4,13.4,169.4,3.68,1,5,46.6,258.6,35,4.2,67.5
23,47,40,42.5,33,9.5,1.28,91.4,13.4,169.4,3.68,1,5,46.6,258.6,35,4.2,67.5
23,48,40,42.5,33,9.5,1.28,91.4,13.4,169.4,3.68,1,5,46.6,258.6,35,4.2,67.5
23,49,40,42.5,33,9.5,1.28,91.4,13.4,169.4,3.68,1,5,46.6,258.6,35,4.2,67.5
23,50,39,43.6,33.3,10.3,1.37,96.3,16.9,175.7,3.67,1,5,46.6,258.6,34,5,72.4
23,51,39,43.6,33.3,10.3,1.37,96.3,16.9,175.7,3.67,1,5,46.6,258.6,34,5,72.4
23,52,39,43.6,33.3,10.3,1.37,96.3,16.9,175.7,3.67,1,5,46.6,258.6,34,5,72.4
23,53,39,43.6,33.3,10.3,1.37,96.3,16.9,175.7,3.67,1,5,46.6,258.6,34,5,72.4
23,54,39,43.6,33.3,10.3,1.37,96.3,16.9,175.7,3.67,1,5,46.6,258.6,34,5,72.4
23,55,38,44.7,33.4,11.3,1.48,101.5,20.6,182.3,3.67,1,5,46.6,258.6,33,6,77.7
23,56,36,41.7,33.8,7.9,1,85.5,3.8,167.2,3.6,1,4,39.6,254.5,32,3.9,64.4
23,57,35,40,34,6,0.75,67.2,-8.4,142.8,3.47,1,4,39.6,254.5,31,1.6,43.1
23,58,35,40,34,6,0.75,67.2,-8.4,142.8,3.47,1,4,39.6,254.5,31,1.6,43.1
23,59,33,39.4,34.2,5.2,0.63,62.9,-14.5,140.3,3.44,1,4,39.6,254.5,29,0.4,36.4
23,60,29,37.9,34.9,3,0.34,44.8,-31.2,120.8,3.27,1,3,29.5,184.3,26,-0.1,28.7
23,61,28,35.7,35.7,0,0,26.6,-42.9,96.2,3.16,0,3,29.5,184.3,25,-3.5,7.7
23,62,24,33.3,36.3,-3,-0.3,15.6,-57.4,88.7,2.98,0,2,10.5,179.5,22,-4.2,0.7
23,63,23,34.8,36.4,-1.6,-0.16,20.7,-55,96.3,2.98,0,2,10.5,179.5,21,-2.8,5.5
23,64,19,31.6,37.3,-5.7,-0.51,16.4,-70.4,103.3,2.97,0,2,10.5,179.5,17,-7.6,-2.8
23,65,17,35.3,37.6,-2.4,-0.2,30.1,-65.1,125.3,2.98,0,2,10.5,179.5,15,-4.1,10.2
24,35,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,36,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,37,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,38,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,39,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,40,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,41,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,42,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,43,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,44,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,45,32,50,31.2,18.8,2.3,195.8,39.6,352,4.55,1,5,75.7,718.6,27,8.3,99
24,46,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,47,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,48,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,49,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,50,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,51,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,52,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,53,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,54,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,55,31,48.4,32,16.3,1.95,131.2,36.8,225.5,3.95,1,4,70.6,348.3,27,8.3,99
24,56,29,44.8,32.4,12.4,1.43,113.4,16.4,210.4,3.89,1,3,69.2,372.7,26,5.8,83.5
24,57,28,42.9,32.6,10.2,1.15,91.5,1.4,181.7,3.73,1,3,69.2,372.7,25,3.1,57.8
24,58,28,42.9,32.6,10.2,1.15,91.5,1.4,181.7,3.73,1,3,69.2,372.7,25,3.1,57.8
24,59,27,40.7,32.7,8,0.89,80.9,-10.1,172,3.69,1,3,69.2,372.7,24,0.4,44.5
24,60,23,39.1,33.4,5.7,0.58,61.3,-30.5,153.1,3.53,1,2,68.8,326.5,21,-0.3,36
24,61,22,36.4,34.2,2.1,0.21,38.9,-45.4,123.2,3.39,0,2,68.8,326.5,20,-4.5,10.1
24,62,18,33.3,34.7,-1.4,-0.13,26.9,-65.2,119,3.21,0,1,70.1,459,17,-5.6,1.5
24,63,17,35.3,34.8,0.5,0.04,34.4,-62,130.9,3.22,0,1,70.1,459,16,-3.9,7.9
24,64,15,33.3,35.5,-2.2,-0.18,33.3,-73,139.5,3.2,0,1,70.1,459,14,-7.4,2.9
24,65,13,38.5,35.8,2.7,0.2,53.8,-65.4,172.9,3.26,0,1,70.1,459,12,-3,20
25,35,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,36,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,37,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,38,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,39,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,40,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,41,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,42,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,43,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,44,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,45,24,45.8,30.1,15.7,1.68,205.4,3.1,407.6,4.86,1,4,77.7,849.7,20,3.3,76.5
25,46,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,47,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,48,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,49,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,50,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,51,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,52,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,53,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,54,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,55,23,43.5,31.3,12.2,1.26,118.7,4.2,233.1,4.07,1,3,71.6,399.7,20,3.3,76.5
25,56,22,40.9,31.5,9.4,0.95,111.5,-7.4,230.5,4.09,1,2,70.1,462,20,3.3,76.5
25,57,21,38.1,31.8,6.3,0.62,82.3,-27,191.6,3.89,1,2,70.1,462,19,-0.4,42.4
25,58,21,38.1,31.8,6.3,0.62,82.3,-27,191.6,3.89,1,2,70.1,462,19,-0.4,42.4
25,59,21,38.1,31.8,6.3,0.62,82.3,-27,191.6,3.89,1,2,70.1,462,19,-0.4,42.4
25,60,17,35.3,32.4,2.9,0.25,56.1,-56.5,168.8,3.71,0,1,70.1,459,16,-1.3,30.9
25,61,16,31.3,33.5,-2.3,-0.19,24.9,-75.8,125.7,3.53,0,1,70.1,459,15,-7.1,-4
25,62,14,35.7,33.9,1.9,0.15,42.8,-69.6,155.2,3.38,0,1,70.1,459,13,-3.4,10.8
25,63,14,35.7,33.9,1.9,0.15,42.8,-69.6,155.2,3.38,0,1,70.1,459,13,-3.4,10.8
25,64,13,38.5,34.5,3.9,0.3,53.8,-65.4,172.9,3.34,0,1,70.1,459,12,-1.6,20
25,65,11,45.5,34.6,10.8,0.75,81.7,-53.1,216.6,3.43,0,1,70.1,459,10,4.9,44
26,35,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,36,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,37,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,38,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,39,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,40,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,41,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,42,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,43,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,44,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,45,17,47.1,28.8,18.2,1.66,247.5,-26.4,521.3,5.34,0,3,80.2,978,14,4.9,90.9
26,46,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,47,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,48,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,49,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,50,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,51,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,52,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,53,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,54,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,55,16,43.8,30.4,13.3,1.16,125.4,-16.6,267.5,4.24,0,2,72.3,367,14,4.9,90.9
26,56,15,40,30.7,9.3,0.78,115.5,-34.9,265.8,4.27,0,1,70.1,459,14,4.9,90.9
26,57,14,35.7,31,4.7,0.38,71.9,-61.1,204.9,3.99,0,1,70.1,459,13,-0.3,42.2
26,58,14,35.7,31,4.7,0.38,71.9,-61.1,204.9,3.99,0,1,70.1,459,13,-0.3,42.2
26,59,14,35.7,31,4.7,0.38,71.9,-61.1,204.9,3.99,0,1,70.1,459,13,-0.3,42.2
26,60,13,38.5,31.4,7.1,0.55,85.2,-55.7,226.1,4.01,0,1,70.1,459,12,1.8,54
26,61,12,33.3,32.8,0.6,0.04,46,-82.5,174.5,3.8,0,1,70.1,459,11,-5.8,8.5
26,62,11,36.4,33,3.4,0.24,59.3,-78.5,197.1,3.59,0,1,70.1,459,10,-3.3,19.3
26,63,11,36.4,33,3.4,0.24,59.3,-78.5,197.1,3.59,0,1,70.1,459,10,-3.3,19.3
26,64,10,40,33.7,6.3,0.42,75.2,-73.2,223.6,3.56,0,1,70.1,459,9,-0.8,32.6
26,65,9,44.4,33.8,10.6,0.67,94.7,-65.7,255,3.63,0,1,70.1,459,8,3.2,49.1
27,35,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,36,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,37,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,38,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,39,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,40,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,41,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,42,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,43,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,44,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,45,14,42.9,29.1,13.7,1.13,236.2,-87.3,559.8,5.19,0,2,83.1,1329.5,12,2.2,54
27,46,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,47,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,48,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,49,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,50,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,51,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,52,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
27,53,13,38.5,31.1,7.4,0.58,85.2,-55.7,226.1,3.82,0,1,70.1,459,12,2.2,54
