e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
9,53,286,41.6,42.1,-0.5,-0.18,7.4,-9.7,24.4,2.48,1,88,-3.5,-2.9,198,0.8,11.9
9,54,265,42.3,42.7,-0.4,-0.13,7.9,-9.7,25.6,2.44,2,80,-2.9,-1.7,185,0.7,12.1
9,55,245,43.3,43.1,0.2,0.06,10.8,-7.9,29.4,2.43,1,74,-4,-2.6,171,2,16.6
9,56,230,43,43.5,-0.5,-0.14,7.2,-11.4,25.8,2.39,1,70,-5.1,-5.8,160,1.5,12.9
9,57,212,42.9,43.8,-0.9,-0.27,4.6,-13.9,23.1,2.36,1,62,-5.2,-4.8,150,0.9,8.5
9,58,191,42.4,44.4,-2,-0.56,3.3,-16.4,23,2.35,1,55,-4.8,-1.7,136,-0.9,5.3
9,59,171,43.3,45.1,-1.8,-0.47,3.5,-17.2,24.1,2.31,1,47,-4.8,0.2,124,-0.7,4.7
9,60,162,43.2,45.6,-2.4,-0.6,-0.7,-20.6,19.1,2.25,1,44,-7,-10.5,118,-0.6,2.9
9,61,145,43.4,46.2,-2.7,-0.66,-3.1,-23,16.9,2.21,1,39,-2.4,1,106,-2.9,-4.6
9,62,130,43.1,46.9,-3.8,-0.88,-6.6,-27,13.8,2.15,1,36,-5,-5.2,94,-3.4,-7.2
9,63,119,43.7,47.3,-3.6,-0.78,-5.4,-26.9,16.1,2.14,1,33,-1.4,3.4,86,-4.4,-8.7
9,64,98,44.9,48.4,-3.5,-0.69,-4.3,-28.1,19.5,2.1,1,26,-5.6,-3,72,-2.7,-4.8
9,65,88,47.7,48.9,-1.2,-0.22,1.7,-23.9,27.2,2.08,1,25,-4.1,0.8,63,0,2
10,35,510,38.8,35.1,3.7,1.75,18.3,2.3,34.4,3.1,4,162,5.8,32.1,348,2.7,11.9
10,36,509,38.9,35.1,3.8,1.78,18.6,2.5,34.6,3.1,4,162,5.8,32.1,347,2.8,12.2
10,37,501,39.1,35.4,3.8,1.76,18.6,2.4,34.8,3.07,4,160,5.5,31,341,3,12.8
10,38,489,39.9,35.7,4.2,1.92,20.7,4.3,37.2,3.03,4,155,6.3,35.3,334,3.2,14
10,39,473,40.6,36.2,4.4,2,22.1,5.3,38.8,2.98,4,148,7,39,325,3.2,14.4
10,40,463,41.5,36.4,5,2.24,24.7,7.7,41.8,2.96,4,147,7.2,40,316,4,17.6
10,41,452,41.4,36.7,4.6,2.05,23.8,6.5,41,2.94,4,143,6,36.7,309,4,17.8
10,42,440,41.8,37,4.8,2.08,24.8,7.2,42.3,2.91,4,137,6.7,40,303,3.9,17.9
10,43,428,42.5,37.3,5.2,2.22,26.6,8.7,44.5,2.89,4,135,7.2,42.1,293,4.3,19.5
10,44,413,43.1,37.7,5.4,2.27,27.9,9.6,46.3,2.86,3,129,8,46.2,284,4.2,19.7
10,45,397,43.3,38.1,5.3,2.16,28.1,9.3,46.9,2.84,3,124,8.6,49.4,273,3.8,18.4
10,46,381,42.8,38.5,4.3,1.73,19.5,4,34.9,2.76,3,119,6.7,27.5,262,3.2,15.8
10,47,367,42.8,38.8,4,1.57,19.1,3.3,34.9,2.73,3,114,6.5,27.7,253,2.9,15.2
10,48,349,43.3,39.2,4.1,1.56,19.8,3.6,36,2.71,3,110,6,27,239,3.2,16.5
10,49,331,44.4,39.6,4.8,1.79,22.7,5.9,39.4,2.67,4,106,6.5,29.2,225,4,19.6
10,50,321,43.9,39.8,4.1,1.5,20.1,3.3,36.9,2.65,3,101,5.6,27.3,220,3.4,16.9
10,51,296,43.9,40.4,3.5,1.24,18,0.7,35.4,2.61,3,93,2.3,15,203,4.1,19.4
10,52,272,43.4,41,2.4,0.8,15.2,-2.8,33.3,2.56,2,82,-1.6,5.8,190,4.1,19.3
